N,D,E,Noise,mse
49,398,0.7,0.0,5.993929607776663
49,398,0.7,0.1,0.731068761513539
49,398,0.7,0.2,0.0054136834415494
49,398,0.8,0.0,6.634688717116512
49,398,0.8,0.1,0.7697397274317019
49,398,0.8,0.2,0.0690879075562307
49,398,0.9,0.0,6.653714257937496
49,398,0.9,0.1,0.8813492332185451
49,398,0.9,0.2,0.0005218345812973
49,399,0.5,0.0,1.3392931542423965
49,399,0.5,0.1,0.7307412870688648
49,399,0.5,0.2,0.0660899922899762
49,399,0.6,0.0,1.3392931542423965
49,399,0.6,0.1,1.0461206341061864
49,399,0.6,0.2,0.043864317785573
49,399,0.7,0.0,1.3392931542423965
49,399,0.7,0.1,1.0551813203738585
49,399,0.7,0.2,0.0153139825266173
49,399,0.8,0.0,5.484688203886746
49,399,0.8,0.1,0.8917450645975258
49,399,0.8,0.2,0.0044595836115437
49,399,0.9,0.0,6.695200026831162
49,399,0.9,0.1,1.045957063955644
49,399,0.9,0.2,0.0883186531172288
161,251,0.5,0.0,3.720282162071429
161,251,0.5,0.1,2.9317196830737142
161,251,0.5,0.2,0.4169176569661648
161,251,0.6,0.0,4.694422713064947
161,251,0.6,0.1,3.1972124836909206
161,251,0.6,0.2,0.5297763082950695
161,251,0.7,0.0,4.372630637958999
161,251,0.7,0.1,3.666105798094833
161,251,0.7,0.2,0.7109138826217354
161,251,0.8,0.0,5.053960608319883
161,251,0.8,0.1,3.5428872694050826
161,251,0.8,0.2,0.8833351147016018
161,251,0.9,0.0,4.952104191960699
161,251,0.9,0.1,3.6429738773601104
161,251,0.9,0.2,0.6040937441348913
161,252,0.5,0.0,3.938641239542748
161,252,0.5,0.1,2.7187660421207465
161,252,0.5,0.2,0.7581642508592594
161,252,0.6,0.0,5.052470359841423
161,252,0.6,0.1,3.4153705107250207
161,252,0.6,0.2,0.5665884928297871
161,252,0.7,0.0,4.676818028628619
161,252,0.7,0.1,3.5248914457367864
161,252,0.7,0.2,0.733031754879665
161,252,0.8,0.0,4.984523185790256
161,252,0.8,0.1,3.663174465911517
161,252,0.8,0.2,0.904975876001906
161,252,0.9,0.0,5.608935653634987
161,252,0.9,0.1,3.055378276569962
161,252,0.9,0.2,0.821876541875131
161,253,0.5,0.0,3.8228168476842495
161,253,0.5,0.1,2.9617176065330355
161,253,0.5,0.2,0.8124801814373708
161,253,0.6,0.0,4.663808351559419
161,253,0.6,0.1,2.8486058561316483
161,253,0.6,0.2,0.6226766984452361
161,253,0.7,0.0,4.320124835783494
161,253,0.7,0.1,2.719919336653563
161,253,0.7,0.2,0.9269207602086844
161,253,0.8,0.0,5.056701917927308
161,253,0.8,0.1,2.858134340293203
161,253,0.8,0.2,1.0578787660614903
161,253,0.9,0.0,4.958203026473222
161,253,0.9,0.1,3.787856489700969
161,253,0.9,0.2,0.4977964024214998
162,251,0.5,0.0,4.920668041864808
162,251,0.5,0.1,2.989864337223498
162,251,0.5,0.2,0.4736754118027306
162,251,0.6,0.0,4.920668041864808
162,251,0.6,0.1,2.752512302755152
162,251,0.6,0.2,0.626268507473636
162,251,0.7,0.0,4.081496065820517
162,251,0.7,0.1,2.8270895091757358
162,251,0.7,0.2,0.8044840955656696
162,251,0.8,0.0,4.059766893785877
162,251,0.8,0.1,3.1314179451720072
162,251,0.8,0.2,0.484528438784725
162,251,0.9,0.0,4.937702620100124
162,251,0.9,0.1,3.0381829370530973
162,251,0.9,0.2,0.5465086768892089
162,252,0.5,0.0,4.537874594357325
162,252,0.5,0.1,2.7755250450582096
162,252,0.5,0.2,0.6292523780065
162,252,0.6,0.0,4.537874594357325
162,252,0.6,0.1,2.8198555403350287
162,252,0.6,0.2,0.5458585733594301
